Username,Content,Likes,Timestamp,Url,Keyword,Sentiment
su_beng1918,"購買資訊在此
https://tw400.oen.tw/good/2winoHT74P0UYj8YoSIwUY2WnWA?from=tw400&m=points",23,2025-05-06T15:19:42.000Z,https://www.threads.net/t/DJUSCpcyTho,oen.tw,Neutral
simonxiwu,"【426東京池袋新珍味史明紀念館定期導覽】

我們的導覽基本上是每個月最後一個禮拜六，所以這個月是4/26，當然不是故意的。至於什麼是「共產黨的形狀」，有誰會比歐吉桑瞭解呢？😆

如果覺得4/26太敏感，下次是5/31、下下次是6/28。手刀報名👇
https://tw400.oen.tw/events/2anUkZdaN46hAKOi8MTKqf2bcdw",34,2025-04-24T00:32:00.000Z,https://www.threads.net/t/DIzy6Y1SNKq,oen.tw,Neutral
marskino0811,"接案中：
漫畫 插畫 
歡迎來訊臉書『腦開』洽詢

也歡迎支持者抖內贊助
https://marskino0811.oen.tw/",1106,2024-11-04T08:39:34.000Z,https://www.threads.net/t/DB8Wx3vzD0f,oen.tw,Neutral
nanako_6611,"基金會官網有
https://tw400.oen.tw/good/2PJq4325FWxnxODBL4d6iSa1Q3O",13,2024-12-15T07:02:00.000Z,https://www.threads.net/t/DDlwNK3pIXP,oen.tw,Neutral
yanlongcang,info@oen.tw,1,2025-02-17T07:03:40.000Z,https://www.threads.net/t/DGKjRYiy8C6,oen.tw,Neutral
dafanshu2193,"一克的愛，支持大麻除罪
https://twsea420.oen.tw/",4,2025-02-27T11:18:35.000Z,https://www.threads.net/t/DGkwZIiBv5B,oen.tw,Very Negative
michael_yo_wang,找到了 https://tw400.oen.tw/good/2PJq4325FWxnxODBL4d6iSa1Q3O?from=tw400_good&goodPendingJobId=pg-gU9kSF7Lj-dXpnzv3SUmH,1,2024-12-15T08:25:30.000Z,https://www.threads.net/t/DDl5wp7S5SG,oen.tw,Neutral
su_beng1918,"台獨悠遊卡

史明在一百歲時
獨立台灣會及史明教育基金會
幫他慶祝百歲生日
當時曾出過一款
台獨悠遊卡
黑色的底版
上面大大金色的獨立台灣字樣
又有史明簽名
簡單大方的設計
令人愛不釋手
獨立台灣的字
是由彰化縣書法學
前理事長所題字
目前尚有少量
可以對外開放收藏

年假結束，各行各業紛紛開工。

無論開車、搭公車、擠捷運通勤，帶上台獨悠遊卡，嗶一下，自由通行！

上班路上，有史明的台灣獨立精神陪伴。

👉 歡迎贊助
https://tw400.oen.tw/good/2PJq4325FWxnxODBL4d6iSa1Q3O?from=tw400&m=points",708,2025-02-04T03:06:01.000Z,https://www.threads.net/t/DFopvQ0ybbc,oen.tw,Very Negative
wartime002,https://tw400.oen.tw/good/2PJq4325FWxnxODBL4d6iSa1Q3O?from=tw400&m=points&s=07&fbclid=IwZXh0bgNhZW0CMTEAAR2uYTITdnGlFhXXxAlRSmPP2UuYJFgMOhmXxE84m_kVj02m8K6TfLGK4Rg_aem_CMR1VfzLJy1-Uxzir2GclQ,7,2025-02-04T16:33:21.000Z,https://www.threads.net/t/DFqGIeUTibo,oen.tw,Neutral
iam_nanahha,"好可愛🥹🥹

大家快去買！（我買好了😎

https://tw400.oen.tw/good/2tn2C7hK3UCJTchpVBVogre2QZM?from=tw400_good

財團法人史明教育基金會

歐吉桑漫畫短袖T恤",4,2025-04-03T03:06:26.000Z,https://www.threads.net/t/DH9_5JkSMrA,oen.tw,Very Positive
chongxinrdsec1,"抖內我們
https://chongxinrdsec1.oen.tw/",157,2024-04-01T05:40:48.000Z,https://www.threads.net/t/C5NR0prvxI-,oen.tw,Neutral
misswhere,"如果喜歡台獨春聯的話可以考慮史明基金會，還可以順道帶一本最新的《革命家的生活寶物》喔！

https://tw400.oen.tw/good",7,2025-01-09T07:55:48.000Z,https://www.threads.net/t/DEmOPCnht_C,oen.tw,Positive
charlieeeee.tw,"歡迎試試 應援科技 @oen.tech 
https://oen.tw",6,2025-02-28T05:02:48.000Z,https://www.threads.net/t/DGmqLr2TW6U,oen.tw,Very Positive
yhc.biz,身為募資平台 oen.tw 很榮幸可以參與這次計畫,62,2024-06-04T12:31:58.000Z,https://www.threads.net/t/C7yzwLlytVK,oen.tw,Very Positive
moraatw,https://tw400.oen.tw/good/2PJq4325FWxnxODBL4d6iSa1Q3O?from=tw400&m=points,4,2025-02-04T12:19:38.000Z,https://www.threads.net/t/DFppGOGTDXG,oen.tw,Neutral
chongxinrdsec1,"（抖內重新路一段）
https://chongxinrdsec1.oen.tw/

（工商/萬萬兩補貨團）
https://mymore.tw/chongxinrdsec1_2412",19,2024-12-30T13:45:41.000Z,https://www.threads.net/t/DENGU6jTN7Q,oen.tw,Neutral
dr.seven_517,https://irmclove4517.oen.tw/,1,2025-02-15T02:54:03.000Z,https://www.threads.net/t/DGE9HZKS30B,oen.tw,Neutral
simonxiwu,"🔺2025東京新珍味史明紀念館＿導覽預約
https://tw400.oen.tw/events/2anUkZdaN46hAKOi8MTKqf2bcdw",7,2025-04-26T03:43:43.000Z,https://www.threads.net/t/DI5ScZlp1Bf,oen.tw,Very Positive
